"Subj","File","Word","Consonant","MinIntensity","Vowel","MaxIntensity","IntensityDifference","test_perc","test_cefr","Context"
"61","fas110928","fas110928_t1.wav","GUSTAN","g",48.7842573818431,"u",60.301426476226,11.5171690943829,63.0769230769231,"B2","initial"
"62","fas110928","fas110928_t1.wav","DEPORTES","d",28.3479545148568,"e",52.9147763149212,24.5668218000644,63.0769230769231,"B2","initial"
"63","fas110928","fas110928_t1.wav","BOXEO","b",50.2308735573994,"o",61.3952904542378,11.1644168968383,63.0769230769231,"B2","initial"
"64","fas110928","fas110928_t1.wav","ABUELO","b",59.9000846911551,"u",63.6511796773323,3.75109498617729,63.0769230769231,"B2","medial"
"65","fas110928","fas110928_t1.wav","DICE","d",52.6453331786383,"i",59.6935067806053,7.04817360196703,63.0769230769231,"B2","initial"
"66","fas110928","fas110928_t1.wav","ORGULLOSO","g",55.7726209053468,"u",63.0563167583023,7.28369585295558,63.0769230769231,"B2","medial"
"67","fas110928","fas110928_t1.wav","DE","d",48.6053363497723,"e",56.4475376571783,7.84220130740599,63.0769230769231,"B2","initial"
"68","fas110928","fas110928_t1.wav","DISFRUTEN","d",52.69616004378,"i",58.2686453791278,5.57248533534781,63.0769230769231,"B2","initial"
"69","fas110928","fas110928_t1.wav","DEPORTE","d",51.5814528259985,"e",59.378341144507,7.79688831850852,63.0769230769231,"B2","initial"
"70","fas110928","fas110928_t1.wav","DICE","d",51.0451245543186,"i",58.557012062234,7.51188750791547,63.0769230769231,"B2","initial"
"71","fas110928","fas110928_t2.wav","HABITANTES","b",54.7757633061692,"i",58.3943217215545,3.61855841538532,63.0769230769231,"B2","medial"
"72","fas110928","fas110928_t2.wav","DE","d",41.4867622358648,"e",60.8645233573034,19.3777611214386,63.0769230769231,"B2","initial"
"73","fas110928","fas110928_t2.wav","IBÉRICA","b",52.4377763200969,"e",63.9735832270072,11.5358069069103,63.0769230769231,"B2","medial"
"74","fas110928","fas110928_t2.wav","TRIBUS","b",50.7918009462435,"u",60.9500279228452,10.1582269766017,63.0769230769231,"B2","medial"
"75","fas110928","fas110928_t2.wav","CELTÍBERAS","b",52.8831520192352,"e",59.5279321165771,6.64478009734186,63.0769230769231,"B2","medial"
"76","fas110928","fas110928_t2.wav","DE","d",48.0444899278776,"e",59.4523173638348,11.4078274359572,63.0769230769231,"B2","initial"
"78","fas110928","fas110928_t2.wav","BIEN","b",52.3368789503507,"i",61.4664678830607,9.12958893271004,63.0769230769231,"B2","initial"
"79","fas110928","fas110928_t2.wav","CONOCIDO","d",49.762042199782,"o",51.430592405532,1.66855020574992,63.0769230769231,"B2","medial"
"80","fas110928","fas110928_t2.wav","SIGLO","g",56.070094653004,"l",62.8891509681569,6.81905631515291,63.0769230769231,"B2","medial"
"81","fas110928","fas110928_t2.wav","DE","d",25.9048400390105,"e",62.4378623614266,36.533022322416,63.0769230769231,"B2","initial"
"82","fas110928","fas110928_t2.wav","LLEGARON","g",52.1840684094968,"a",61.3283109021227,9.14424249262593,63.0769230769231,"B2","medial"
"84","fas110928","fas110928_t2.wav","ESTABLECIERON","b",56.9164839670466,"l",62.4138004742216,5.49731650717495,63.0769230769231,"B2","medial"
"86","fas110928","fas110928_t2.wav","DE","d",61.037221138721,"e",61.949422527854,0.912201389132967,63.0769230769231,"B2","initial"
"87","fas110928","fas110928_t2.wav","GOBIERNO","g",50.208969498643,"o",62.7591060356955,12.5501365370525,63.0769230769231,"B2","initial"
"88","fas110928","fas110928_t2.wav","GOBIERNO","b",56.2294252867985,"i",63.0854760643048,6.85605077750627,63.0769230769231,"B2","initial"
"89","fas110928","fas110928_t2.wav","ORGANIZACIÓN","g",59.2865210827203,"a",61.1044488369522,1.81792775423188,63.0769230769231,"B2","medial"
"90","fas110928","fas110928_t2.wav","TARDE","d",53.9885010671916,"e",63.5985901362245,9.61008906903293,63.0769230769231,"B2","medial"
"91","fas110928","fas110928_t2.wav","INTRODUJERON","d",49.9112878606524,"u",57.7708766817685,7.85958882111613,63.0769230769231,"B2","medial"
"92","fas110928","fas110928_t2.wav","DICHO","d",56.8188215320577,"i",60.1247583255402,3.30593679348254,63.0769230769231,"B2","initial"
"93","fas110928","fas110928_t2.wav","LLEGÓ","g",43.5816419979147,"o",62.0687565888101,18.4871145908955,63.0769230769231,"B2","medial"
"94","fas110928","fas110928_t2.wav","ROMANIZADA","d",55.5107955063317,"a",56.6081882170577,1.09739271072601,63.0769230769231,"B2","medial"
"95","fas110928","fas110928_t2.wav","DE","d",46.839327248451,"e",53.1499258951252,6.31059864667414,63.0769230769231,"B2","initial"
"96","fas110928","fas110928_t2.wav","TODAS","d",53.0364073766323,"a",52.6171916306416,-0.419215745990755,63.0769230769231,"B2","medial"
"98","fas110928","fas110928_t2.wav","ADOPTARON","d",51.020851148473,"o",61.6003052475338,10.5794540990608,63.0769230769231,"B2","medial"
"99","fas110928","fas110928_t2.wav","HABITANTES","b",48.1650404779297,"i",57.1897963510286,9.02475587309899,63.0769230769231,"B2","medial"
"100","fas110928","fas110928_t2.wav","DE","d",46.1188412687223,"e",55.9745393779602,9.85569810923793,63.0769230769231,"B2","initial"
"101","fas110928","fas110928_t2.wav","VULGAR","b",45.5573314781179,"u",55.9922794276101,10.4349479494922,63.0769230769231,"B2","medial"
"102","fas110928","fas110928_t2.wav","VULGAR","g",46.7336750239129,"a",57.0821623541963,10.3484873302834,63.0769230769231,"B2","medial"
"104","fas110928","fas110928_t2.wav","DEL","d",55.0305432500988,"e",60.873098665856,5.84255541575715,63.0769230769231,"B2","initial"
"107","fas110928","fas110928_t2.wav","DE","d",56.8438754805109,"e",62.7916563800834,5.94778089957243,63.0769230769231,"B2","initial"
"108","fas110928","fas110928_t2.wav","DESCIENDE","d",48.4977719890021,"e",60.2836665034601,11.785894514458,63.0769230769231,"B2","initial"
"109","fas110928","fas110928_t2.wav","DESCIENDE","d",56.9974431103711,"e",59.1563670877857,2.15892397741467,63.0769230769231,"B2","initial"
